"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chrom","strand","left","right","symbol","name","location"
"ENSG00000069812",135.138,1.98,0.092,21.438,0,0,"1","-",6472477,6484730,"HES2","hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]","1:6472477-6484730"
"ENSG00000187017",917.101,0.729,0.08,9.157,0,0,"1","+",6484847,6521004,"ESPN","espin [Source:HGNC Symbol;Acc:HGNC:13281]","1:6484847-6521004"
"ENSG00000231868",24.852,0.806,0.169,4.778,0,0,"1","-",6503093,6507066,"RP1-202O8.2","","1:6503093-6507066"
"ENSG00000171680",228.644,-0.347,0.063,-5.511,0,0,"1","-",6526151,6537648,"PLEKHG5","pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105]","1:6526151-6537648"
"ENSG00000116273",378.153,-0.147,0.05,-2.923,0.003,0.016,"1","+",6673744,6684093,"PHF13","PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]","1:6673744-6684093"
"ENSG00000171735",194.445,0.378,0.074,5.116,0,0,"1","+",6845383,7829766,"CAMTA1","calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]","1:6845383-7829766"
"ENSG00000049245",816.216,0.146,0.039,3.789,0,0.001,"1","+",7831328,7841492,"VAMP3","vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]","1:7831328-7841492"
"ENSG00000049246",255.406,-0.187,0.069,-2.696,0.007,0.03,"1","+",7844379,7864018,"PER3","period circadian clock 3 [Source:HGNC Symbol;Acc:HGNC:8847]","1:7844379-7864018"
"ENSG00000116285",812.326,1.942,0.082,23.65,0,0,"1","-",8064463,8086343,"ERRFI1","ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]","1:8064463-8086343"
"ENSG00000162426",5.813,1.028,0.248,4.155,0,0,"1","+",8377885,8404225,"SLC45A1","solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939]","1:8377885-8404225"
"ENSG00000142599",1367.952,1.35,0.041,32.575,0,0,"1","-",8412456,8877524,"RERE","arginine-glutamic acid dipeptide (RE) repeats [Source:HGNC Symbol;Acc:HGNC:9965]","1:8412456-8877524"
"ENSG00000228526",8.514,-0.586,0.217,-2.701,0.007,0.029,"1","-",9242065,9262678,"MIR34AHG","MIR34A host gene [Source:HGNC Symbol;Acc:HGNC:51913]","1:9242065-9262678"
"ENSG00000049239",687.387,0.287,0.044,6.584,0,0,"1","+",9294833,9331396,"H6PD","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) [Source:HGNC Symbol;Acc:HGNC:4795]","1:9294833-9331396"
"ENSG00000171621",148.886,2.677,0.097,27.479,0,0,"1","+",9352938,9429591,"SPSB1","splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]","1:9352938-9429591"
"ENSG00000171612",234.44,0.588,0.069,8.556,0,0,"1","+",9599540,9645237,"SLC25A33","solute carrier family 25 (pyrimidine nucleotide carrier), member 33 [Source:HGNC Symbol;Acc:HGNC:29681]","1:9599540-9645237"
"ENSG00000188807",208.667,0.334,0.071,4.678,0,0,"1","+",9648931,9674935,"TMEM201","transmembrane protein 201 [Source:HGNC Symbol;Acc:HGNC:33719]","1:9648931-9674935"
"ENSG00000171608",133.339,1.614,0.091,17.777,0,0,"1","+",9711789,9789172,"PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]","1:9711789-9789172"
"ENSG00000171603",1628.211,-0.117,0.031,-3.754,0,0.001,"1","-",9789083,9884584,"CLSTN1","calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]","1:9789083-9884584"
"ENSG00000178585",477.543,0.162,0.056,2.867,0.004,0.019,"1","-",9908333,9970321,"CTNNBIP1","catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913]","1:9908333-9970321"
"ENSG00000173614",133.376,-0.237,0.073,-3.244,0.001,0.006,"1","+",10003485,10041824,"NMNAT1","nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]","1:10003485-10041824"
"ENSG00000130939",459.897,-0.185,0.062,-3.001,0.003,0.013,"1","+",10092889,10240425,"UBE4B","ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500]","1:10092889-10240425"
"ENSG00000160049",585.862,0.274,0.042,6.469,0,0,"1","-",10516578,10532583,"DFFA","DNA fragmentation factor, 45kDa, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:2772]","1:10516578-10532583"
"ENSG00000130940",814.821,0.805,0.051,15.868,0,0,"1","-",10696660,10856705,"CASZ1","castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002]","1:10696660-10856705"
"ENSG00000272078",273.077,0.831,0.066,12.665,0,0,"1","+",10699297,10714390,"RP4-734G22.3","","1:10699297-10714390"
"ENSG00000120948",2008.012,0.197,0.039,5.076,0,0,"1","+",11072413,11080546,"TARDBP","TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]","1:11072413-11080546"
"ENSG00000271895",22.833,-0.389,0.156,-2.496,0.013,0.049,"1","+",11089715,11090585,"RP4-635E18.8","","1:11089715-11090585"
"ENSG00000116649",776.864,0.527,0.071,7.431,0,0,"1","-",11114640,11115261,"SRM","spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]","1:11114640-11115261"
"ENSG00000204624",15.871,0.471,0.186,2.537,0.011,0.044,"1","+",11539222,11542017,"PTCHD2","patched domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29251]","1:11539222-11542017"
"ENSG00000132879",242.204,-0.328,0.069,-4.784,0,0,"1","+",11714431,11722346,"FBXO44","F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847]","1:11714431-11722346"
"ENSG00000116663",97.779,-0.246,0.09,-2.746,0.006,0.026,"1","+",11724180,11734411,"FBXO6","F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]","1:11724180-11734411"
"ENSG00000215910",61.312,-0.405,0.101,-4.001,0,0,"1","+",11821843,11849641,"C1orf167","chromosome 1 open reading frame 167 [Source:HGNC Symbol;Acc:HGNC:25262]","1:11821843-11849641"
"ENSG00000177000",303.127,-0.345,0.058,-5.962,0,0,"1","-",11845779,11863302,"MTHFR","methylenetetrahydrofolate reductase (NAD(P)H) [Source:HGNC Symbol;Acc:HGNC:7436]","1:11845779-11863302"
"ENSG00000242349",14.23,-0.476,0.19,-2.506,0.012,0.048,"1","+",11901073,11907741,"NPPA-AS1","NPPA antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:37635]","1:11901073-11907741"
"ENSG00000048707",748.818,0.161,0.061,2.645,0.008,0.034,"1","+",12290123,12572099,"VPS13D","vacuolar protein sorting 13 homolog D (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:23595]","1:12290123-12572099"
"ENSG00000162496",62.781,0.775,0.108,7.14,0,0,"1","-",12627938,12677737,"DHRS3","dehydrogenase/reductase (SDR family) member 3 [Source:HGNC Symbol;Acc:HGNC:17693]","1:12627938-12677737"
"ENSG00000116731",662.148,0.953,0.081,11.763,0,0,"1","+",14026692,14075958,"PRDM2","PR domain containing 2, with ZNF domain [Source:HGNC Symbol;Acc:HGNC:9347]","1:14026692-14075958"
"ENSG00000142634",207.227,-0.279,0.074,-3.741,0,0.001,"1","+",15736390,15756839,"EFHD2","EF-hand domain family member D2 [Source:HGNC Symbol;Acc:HGNC:28670]","1:15736390-15756839"
"ENSG00000132906",68.726,-0.347,0.097,-3.57,0,0.002,"1","-",15817326,15850940,"CASP9","caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]","1:15817326-15850940"
"ENSG00000116138",211.952,-0.218,0.083,-2.617,0.009,0.036,"1","+",15853307,15893090,"DNAJC16","DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157]","1:15853307-15893090"
"ENSG00000272510",3.883,-0.705,0.257,-2.745,0.006,0.026,"1","-",15892105,15892451,"RP4-680D5.8","","1:15892105-15892451"
"ENSG00000197312",508.545,0.193,0.067,2.881,0.004,0.018,"1","+",15943994,15995539,"DDI2","DNA damage inducible 1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:24578]","1:15943994-15995539"
"ENSG00000162458",269.323,-0.219,0.06,-3.677,0,0.001,"1","+",16083101,16091568,"FBLIM1","filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686]","1:16083101-16091568"
"ENSG00000179743",47.167,-0.437,0.114,-3.848,0,0.001,"1","-",16160559,16162355,"FLJ37453","uncharacterized LOC729614 [Source:EntrezGene;Acc:729614]","1:16160559-16162355"
"ENSG00000183888",31.12,-0.771,0.143,-5.403,0,0,"1","+",16330730,16335302,"C1orf64","chromosome 1 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:28339]","1:16330730-16335302"
"ENSG00000142627",61.633,0.424,0.125,3.377,0.001,0.004,"1","-",16450831,16482582,"EPHA2","EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]","1:16450831-16482582"
"ENSG00000234166",22.167,-0.455,0.171,-2.667,0.008,0.032,"1","+",16524348,16524852,"ARHGEF19-AS1","ARHGEF19 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39996]","1:16524348-16524852"
"ENSG00000142632",442.631,-0.585,0.052,-11.205,0,0,"1","-",16524348,16533506,"ARHGEF19","Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604]","1:16524348-16533506"
"ENSG00000237276",18.997,-0.536,0.167,-3.216,0.001,0.007,"1","-",16542403,16543655,"ANO7P1","anoctamin 7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32248]","1:16542403-16543655"
"ENSG00000204377",13.453,-0.501,0.19,-2.636,0.008,0.035,"1","-",16555367,16556038,NA,NA,"1:16555367-16556038"
"ENSG00000233929",4.758,0.841,0.254,3.315,0.001,0.005,"1","-",16567707,16567893,"MT1XP1","metallothionein 1X pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7442]","1:16567707-16567893"
"ENSG00000219481",994.402,0.203,0.051,3.984,0,0,"1","-",16888813,16939982,"NBPF1","neuroblastoma breakpoint family member 1 [Source:HGNC Symbol;Acc:HGNC:26088]","1:16888813-16939982"
"ENSG00000186301",66.183,-0.252,0.099,-2.548,0.011,0.043,"1","+",16972068,16976914,"MST1P2","macrophage stimulating 1 (hepatocyte growth factor-like) pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:7383]","1:16972068-16976914"
"ENSG00000268869",79.385,0.557,0.104,5.34,0,0,"1","-",17013833,17018804,"ESPNP","espin pseudogene [Source:HGNC Symbol;Acc:HGNC:23285]","1:17013833-17018804"
"ENSG00000058453",478.998,-0.236,0.084,-2.823,0.005,0.021,"1","+",17066767,17267929,"CROCC","ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]","1:17066767-17267929"
"ENSG00000186715",62.51,-0.274,0.109,-2.525,0.012,0.046,"1","-",17081404,17085367,"MST1L","macrophage stimulating 1-like [Source:HGNC Symbol;Acc:HGNC:7390]","1:17081404-17085367"
"ENSG00000228549",2.64,-0.696,0.265,-2.625,0.009,0.036,"1","+",17197439,17200574,"RP11-108M9.3","","1:17197439-17200574"
"ENSG00000142619",536.072,-0.196,0.059,-3.327,0.001,0.005,"1","+",17575592,17610728,"PADI3","peptidyl arginine deiminase, type III [Source:HGNC Symbol;Acc:HGNC:18337]","1:17575592-17610728"
"ENSG00000074964",286.67,-0.364,0.058,-6.231,0,0,"1","+",17866329,18024364,"ARHGEF10L","Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540]","1:17866329-18024364"
"ENSG00000179023",239.918,-0.383,0.069,-5.505,0,0,"1","+",18807423,18812478,"KLHDC7A","kelch domain containing 7A [Source:HGNC Symbol;Acc:HGNC:26791]","1:18807423-18812478"
"ENSG00000235282",6.36,0.757,0.237,3.19,0.001,0.007,"1","+",18839611,18839877,"DYNLL1P3","dynein, light chain, LC8-type 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49654]","1:18839611-18839877"
"ENSG00000169991",185.629,1.892,0.075,25.109,0,0,"1","-",19230774,19283180,"IFFO2","intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:HGNC:27006]","1:19230774-19283180"
"ENSG00000053372",429.609,0.26,0.067,3.909,0,0.001,"1","+",19578032,19586622,"MRTO4","MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]","1:19578032-19586622"
"ENSG00000158747",165.87,0.458,0.102,4.492,0,0,"1","+",19967047,19983427,"NBL1","neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]","1:19967047-19983427"
"ENSG00000162542",256.748,-0.223,0.063,-3.538,0,0.002,"1","-",20008705,20126410,"TMCO4","transmembrane and coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:27393]","1:20008705-20126410"
"ENSG00000162543",7.002,-0.621,0.226,-2.743,0.006,0.026,"1","+",20512577,20522541,"UBXN10","UBX domain protein 10 [Source:HGNC Symbol;Acc:HGNC:26354]","1:20512577-20522541"
"ENSG00000162545",204.065,-0.797,0.081,-9.808,0,0,"1","-",20808883,20812713,"CAMK2N1","calcium/calmodulin-dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:24190]","1:20808883-20812713"
"ENSG00000117298",1545.367,0.445,0.038,11.799,0,0,"1","-",21543739,21671997,"ECE1","endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]","1:21543739-21671997"
"ENSG00000162551",41.021,2.805,0.172,16.264,0,0,"1","+",21835857,21904902,"ALPL","alkaline phosphatase, liver/bone/kidney [Source:HGNC Symbol;Acc:HGNC:438]","1:21835857-21904902"
"ENSG00000076864",35.99,-0.395,0.133,-2.973,0.003,0.014,"1","-",21922707,21978348,"RAP1GAP","RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]","1:21922707-21978348"
"ENSG00000162552",23.735,-0.468,0.161,-2.91,0.004,0.017,"1","-",22443797,22469459,"WNT4","wingless-type MMTV integration site family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]","1:22443797-22469459"
"ENSG00000184677",873.346,-0.174,0.054,-3.221,0.001,0.007,"1","+",22778343,22857650,"ZBTB40","zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045]","1:22778343-22857650"
"ENSG00000261326",67.719,-0.363,0.135,-2.682,0.007,0.031,"1","-",23607801,23613245,"LINC01355","long intergenic non-protein coding RNA 1355 [Source:HGNC Symbol;Acc:HGNC:50584]","1:23607801-23613245"
"ENSG00000088280",1190.68,0.427,0.042,10.21,0,0,"1","-",23755055,23763170,"ASAP3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]","1:23755055-23763170"
"ENSG00000007968",201.027,-0.297,0.062,-4.828,0,0,"1","-",23832921,23857712,"E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]","1:23832921-23857712"
"ENSG00000117318",422.709,-0.708,0.078,-9.098,0,0,"1","-",23884408,23886285,"ID3","inhibitor of DNA binding 3, dominant negative helix-loop-helix protein [Source:HGNC Symbol;Acc:HGNC:5362]","1:23884408-23886285"
"ENSG00000011007",812.704,0.746,0.047,15.981,0,0,"1","+",24069644,24088549,"TCEB3","transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A) [Source:HGNC Symbol;Acc:HGNC:11620]","1:24069644-24088549"
"ENSG00000236810",111.038,0.699,0.087,8.051,0,0,"1","-",24086871,24104777,"TCEB3-AS1","TCEB3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50582]","1:24086871-24104777"
"ENSG00000117308",335.374,-0.285,0.072,-3.984,0,0,"1","-",24122088,24127271,"GALE","UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]","1:24122088-24127271"
"ENSG00000179163",204.187,0.188,0.065,2.907,0.004,0.017,"1","-",24171566,24194784,"FUCA1","fucosidase, alpha-L- 1, tissue [Source:HGNC Symbol;Acc:HGNC:4006]","1:24171566-24194784"
"ENSG00000189266",332.913,-0.586,0.066,-8.922,0,0,"1","+",24285598,24287955,"PNRC2","proline rich nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:HGNC:23158]","1:24285598-24287955"
"ENSG00000188529",837.47,-0.216,0.064,-3.354,0.001,0.004,"1","-",24291293,24306821,"SRSF10","serine/arginine-rich splicing factor 10 [Source:HGNC Symbol;Acc:HGNC:16713]","1:24291293-24306821"
"ENSG00000158055",70.313,-1.756,0.123,-14.232,0,0,"1","+",24645811,24681808,"GRHL3","grainyhead-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:25839]","1:24645811-24681808"
"ENSG00000001460",183.071,0.548,0.074,7.38,0,0,"1","-",24683488,24741587,"STPG1","sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]","1:24683488-24741587"
"ENSG00000001461",1882.545,1.047,0.055,19.105,0,0,"1","+",24742283,24795797,"NIPAL3","NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]","1:24742283-24795797"
"ENSG00000117602",234.181,-0.562,0.069,-8.145,0,0,"1","+",24829386,24867530,"RCAN3","RCAN family member 3 [Source:HGNC Symbol;Acc:HGNC:3042]","1:24829386-24867530"
"ENSG00000264443",26.369,-0.651,0.147,-4.417,0,0,"1","-",24865291,24882515,"RP4-594I10.3","","1:24865291-24882515"
"ENSG00000133226",1127.997,0.174,0.048,3.628,0,0.002,"1","+",24958206,24962368,"SRRM1","serine/arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:HGNC:16638]","1:24958206-24962368"
"ENSG00000169504",1479.151,0.347,0.07,4.972,0,0,"1","+",25071847,25170815,"CLIC4","chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]","1:25071847-25170815"
"ENSG00000117616",469.085,-0.386,0.095,-4.048,0,0,"1","-",25568727,25574010,"RSRP1","arginine/serine-rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234]","1:25568727-25574010"
"ENSG00000157978",393.712,0.283,0.055,5.148,0,0,"1","+",25870070,25895377,"LDLRAP1","low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]","1:25870070-25895377"
"ENSG00000117643",96.176,0.291,0.089,3.256,0.001,0.006,"1","+",25943958,26112698,"MAN1C1","mannosidase, alpha, class 1C, member 1 [Source:HGNC Symbol;Acc:HGNC:19080]","1:25943958-26112698"
"ENSG00000162430",880.34,0.164,0.041,4.003,0,0,"1","+",26126666,26144713,"SEPN1","selenoprotein N, 1 [Source:HGNC Symbol;Acc:HGNC:15999]","1:26126666-26144713"
"ENSG00000117640",426.432,0.387,0.054,7.237,0,0,"1","+",26145130,26156005,"MTFR1L","mitochondrial fission regulator 1-like [Source:HGNC Symbol;Acc:HGNC:28836]","1:26145130-26156005"
"ENSG00000223474",43.495,0.504,0.124,4.052,0,0,"1","-",26145211,26147288,NA,NA,"1:26145211-26147288"
"ENSG00000236528",24.7,-1.025,0.159,-6.438,0,0,"1","+",26186103,26189911,"RP1-125I3.2","","1:26186103-26189911"
"ENSG00000182749",111.6,-0.68,0.082,-8.341,0,0,"1","-",26187700,26197744,"PAQR7","progestin and adipoQ receptor family member VII [Source:HGNC Symbol;Acc:HGNC:23146]","1:26187700-26197744"
"ENSG00000158008",18.835,-0.524,0.166,-3.163,0.002,0.008,"1","+",26346374,26358038,"EXTL1","exostosin-like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515]","1:26346374-26358038"
