"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chrom","strand","left","right","symbol","name","location"
"ENSG00000237276",18.997,-0.564,0.166,-3.394,0.001,0.004,"1","-",16542403,16543655,"ANO7P1","anoctamin 7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32248]","1:16542403-16543655"
"ENSG00000233929",4.758,0.766,0.254,3.017,0.003,0.013,"1","-",16567707,16567893,"MT1XP1","metallothionein 1X pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7442]","1:16567707-16567893"
"ENSG00000219481",994.402,0.231,0.051,4.543,0,0,"1","-",16888813,16939982,"NBPF1","neuroblastoma breakpoint family member 1 [Source:HGNC Symbol;Acc:HGNC:26088]","1:16888813-16939982"
"ENSG00000186301",66.183,-0.3,0.099,-3.034,0.002,0.012,"1","+",16972068,16976914,"MST1P2","macrophage stimulating 1 (hepatocyte growth factor-like) pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:7383]","1:16972068-16976914"
"ENSG00000268869",79.385,0.502,0.104,4.817,0,0,"1","-",17013833,17018804,"ESPNP","espin pseudogene [Source:HGNC Symbol;Acc:HGNC:23285]","1:17013833-17018804"
"ENSG00000058453",478.998,-0.264,0.084,-3.154,0.002,0.009,"1","+",17066767,17267929,"CROCC","ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]","1:17066767-17267929"
"ENSG00000142619",536.072,-0.205,0.059,-3.492,0,0.003,"1","+",17575592,17610728,"PADI3","peptidyl arginine deiminase, type III [Source:HGNC Symbol;Acc:HGNC:18337]","1:17575592-17610728"
"ENSG00000074964",286.67,-0.281,0.058,-4.867,0,0,"1","+",17866329,18024364,"ARHGEF10L","Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540]","1:17866329-18024364"
"ENSG00000179023",239.918,-0.303,0.069,-4.408,0,0,"1","+",18807423,18812478,"KLHDC7A","kelch domain containing 7A [Source:HGNC Symbol;Acc:HGNC:26791]","1:18807423-18812478"
"ENSG00000169991",185.629,1.678,0.076,22.046,0,0,"1","-",19230774,19283180,"IFFO2","intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:HGNC:27006]","1:19230774-19283180"
"ENSG00000127463",1195.677,0.112,0.034,3.253,0.001,0.006,"1","-",19542157,19578046,"EMC1","ER membrane protein complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28957]","1:19542157-19578046"
"ENSG00000053372",429.609,0.18,0.067,2.691,0.007,0.031,"1","+",19578032,19586622,"MRTO4","MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]","1:19578032-19586622"
"ENSG00000158747",165.87,0.405,0.102,3.971,0,0.001,"1","+",19967047,19983427,"NBL1","neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]","1:19967047-19983427"
"ENSG00000162543",7.002,-0.7,0.227,-3.085,0.002,0.01,"1","+",20512577,20522541,"UBXN10","UBX domain protein 10 [Source:HGNC Symbol;Acc:HGNC:26354]","1:20512577-20522541"
"ENSG00000162545",204.065,-0.789,0.081,-9.75,0,0,"1","-",20808883,20812713,"CAMK2N1","calcium/calmodulin-dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:24190]","1:20808883-20812713"
"ENSG00000117298",1545.367,0.476,0.038,12.659,0,0,"1","-",21543739,21671997,"ECE1","endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]","1:21543739-21671997"
"ENSG00000162551",41.021,2.882,0.172,16.782,0,0,"1","+",21835857,21904902,"ALPL","alkaline phosphatase, liver/bone/kidney [Source:HGNC Symbol;Acc:HGNC:438]","1:21835857-21904902"
"ENSG00000076864",35.99,-0.525,0.134,-3.922,0,0.001,"1","-",21922707,21978348,"RAP1GAP","RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]","1:21922707-21978348"
"ENSG00000187942",191.984,-0.264,0.105,-2.505,0.012,0.049,"1","+",22138757,22151714,"LDLRAD2","low density lipoprotein receptor class A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32071]","1:22138757-22151714"
"ENSG00000169641",337.614,0.222,0.081,2.728,0.006,0.028,"1","-",23410515,23495351,"LUZP1","leucine zipper protein 1 [Source:HGNC Symbol;Acc:HGNC:14985]","1:23410515-23495351"
"ENSG00000179546",8.751,-0.563,0.215,-2.624,0.009,0.037,"1","-",23516992,23520755,"HTR1D","5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled [Source:HGNC Symbol;Acc:HGNC:5289]","1:23516992-23520755"
"ENSG00000125944",1712.034,0.122,0.044,2.778,0.005,0.025,"1","-",23630263,23633125,"HNRNPR","heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]","1:23630263-23633125"
"ENSG00000088280",1190.68,0.462,0.042,11.071,0,0,"1","-",23755055,23763170,"ASAP3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]","1:23755055-23763170"
"ENSG00000007968",201.027,-0.239,0.061,-3.929,0,0.001,"1","-",23832921,23857712,"E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]","1:23832921-23857712"
"ENSG00000117318",422.709,-0.502,0.077,-6.514,0,0,"1","-",23884408,23886285,"ID3","inhibitor of DNA binding 3, dominant negative helix-loop-helix protein [Source:HGNC Symbol;Acc:HGNC:5362]","1:23884408-23886285"
"ENSG00000011007",812.704,0.841,0.046,18.137,0,0,"1","+",24069644,24088549,"TCEB3","transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A) [Source:HGNC Symbol;Acc:HGNC:11620]","1:24069644-24088549"
"ENSG00000236810",111.038,0.775,0.086,9.029,0,0,"1","-",24086871,24104777,"TCEB3-AS1","TCEB3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50582]","1:24086871-24104777"
"ENSG00000117308",335.374,-0.225,0.071,-3.155,0.002,0.008,"1","-",24122088,24127271,"GALE","UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]","1:24122088-24127271"
"ENSG00000179163",204.187,0.172,0.065,2.663,0.008,0.033,"1","-",24171566,24194784,"FUCA1","fucosidase, alpha-L- 1, tissue [Source:HGNC Symbol;Acc:HGNC:4006]","1:24171566-24194784"
"ENSG00000189266",332.913,-0.399,0.065,-6.161,0,0,"1","+",24285598,24287955,"PNRC2","proline rich nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:HGNC:23158]","1:24285598-24287955"
"ENSG00000158055",70.313,-1.782,0.123,-14.481,0,0,"1","+",24645811,24681808,"GRHL3","grainyhead-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:25839]","1:24645811-24681808"
"ENSG00000001460",183.071,0.526,0.074,7.093,0,0,"1","-",24683488,24741587,"STPG1","sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]","1:24683488-24741587"
"ENSG00000001461",1882.545,1.084,0.055,19.805,0,0,"1","+",24742283,24795797,"NIPAL3","NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]","1:24742283-24795797"
"ENSG00000117602",234.181,-0.48,0.068,-7.039,0,0,"1","+",24829386,24867530,"RCAN3","RCAN family member 3 [Source:HGNC Symbol;Acc:HGNC:3042]","1:24829386-24867530"
"ENSG00000264443",26.369,-0.734,0.148,-4.96,0,0,"1","-",24865291,24882515,"RP4-594I10.3","","1:24865291-24882515"
"ENSG00000133226",1127.997,0.219,0.048,4.565,0,0,"1","+",24958206,24962368,"SRRM1","serine/arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:HGNC:16638]","1:24958206-24962368"
"ENSG00000169504",1479.151,0.366,0.07,5.248,0,0,"1","+",25071847,25170815,"CLIC4","chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]","1:25071847-25170815"
"ENSG00000117616",469.085,-0.339,0.095,-3.568,0,0.002,"1","-",25568727,25574010,"RSRP1","arginine/serine-rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234]","1:25568727-25574010"
"ENSG00000157978",393.712,0.289,0.055,5.278,0,0,"1","+",25870070,25895377,"LDLRAP1","low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]","1:25870070-25895377"
"ENSG00000117643",96.176,0.376,0.088,4.261,0,0,"1","+",25943958,26112698,"MAN1C1","mannosidase, alpha, class 1C, member 1 [Source:HGNC Symbol;Acc:HGNC:19080]","1:25943958-26112698"
"ENSG00000162430",880.34,0.172,0.041,4.215,0,0,"1","+",26126666,26144713,"SEPN1","selenoprotein N, 1 [Source:HGNC Symbol;Acc:HGNC:15999]","1:26126666-26144713"
"ENSG00000117640",426.432,0.381,0.053,7.139,0,0,"1","+",26145130,26156005,"MTFR1L","mitochondrial fission regulator 1-like [Source:HGNC Symbol;Acc:HGNC:28836]","1:26145130-26156005"
"ENSG00000223474",43.495,0.364,0.125,2.904,0.004,0.017,"1","-",26145211,26147288,NA,NA,"1:26145211-26147288"
"ENSG00000236528",24.7,-0.728,0.152,-4.779,0,0,"1","+",26186103,26189911,"RP1-125I3.2","","1:26186103-26189911"
"ENSG00000182749",111.6,-0.723,0.081,-8.867,0,0,"1","-",26187700,26197744,"PAQR7","progestin and adipoQ receptor family member VII [Source:HGNC Symbol;Acc:HGNC:23146]","1:26187700-26197744"
"ENSG00000158008",18.835,-0.653,0.167,-3.904,0,0.001,"1","+",26346374,26358038,"EXTL1","exostosin-like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515]","1:26346374-26358038"
"ENSG00000175087",94.88,-0.482,0.089,-5.437,0,0,"1","+",26437663,26448615,"PDIK1L","PDLIM1 interacting kinase 1 like [Source:HGNC Symbol;Acc:HGNC:18981]","1:26437663-26448615"
"ENSG00000142675",323.831,-0.37,0.071,-5.237,0,0,"1","+",26503893,26516377,"CNKSR1","connector enhancer of kinase suppressor of Ras 1 [Source:HGNC Symbol;Acc:HGNC:19700]","1:26503893-26516377"
"ENSG00000176092",138.805,-0.299,0.09,-3.321,0.001,0.005,"1","-",26648349,26670576,"AIM1L","absent in melanoma 1-like [Source:HGNC Symbol;Acc:HGNC:17295]","1:26648349-26670576"
"ENSG00000131914",178.332,-0.91,0.072,-12.718,0,0,"1","+",26737268,26756213,"LIN28A","lin-28 homolog A (C. elegans) [Source:HGNC Symbol;Acc:HGNC:15986]","1:26737268-26756213"
"ENSG00000117676",725.696,0.68,0.043,15.904,0,0,"1","+",26856251,26873474,"RPS6KA1","ribosomal protein S6 kinase, 90kDa, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:10430]","1:26856251-26873474"
"ENSG00000117713",583.64,0.637,0.055,11.544,0,0,"1","+",27022523,27108595,"ARID1A","AT-rich interaction domain 1A [Source:HGNC Symbol;Acc:HGNC:11110]","1:27022523-27108595"
"ENSG00000204160",250.608,-0.223,0.066,-3.391,0.001,0.004,"1","+",27153200,27184092,"ZDHHC18","zinc finger, DHHC-type containing 18 [Source:HGNC Symbol;Acc:HGNC:20712]","1:27153200-27184092"
"ENSG00000175793",637.257,-0.352,0.078,-4.49,0,0,"1","+",27189632,27190947,"SFN","stratifin [Source:HGNC Symbol;Acc:HGNC:10773]","1:27189632-27190947"
"ENSG00000175707",274.177,0.865,0.069,12.488,0,0,"1","-",27276052,27286897,"KDF1","keratinocyte differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:26624]","1:27276052-27286897"
